Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Royce O'Neale,Uta,SF,3,BackCourt,24,13,8.9,18.5,13.9,0.084,8,0.625,15,0.467,14,0.286,0.477,2.4,1.6,10.5,0.8,13.9,0.54,0,0.23,6.5,104.3,96.6
Rudy Gay,San,SF,3,BackCourt,31,20,22.1,46,25.1,0.141,52,0.846,146,0.507,44,0.318,0.55,11.7,5,12.6,1.7,12.4,1,0.55,1.75,8.4,104.3,94.7
Rudy Gobert,Uta,C,5,BackCourt,25,12,33.8,70.5,16.8,0.165,60,0.717,100,0.62,0,0,0.661,13.9,10.5,17.9,1.3,5.9,0.58,2.5,2.08,6.8,121,98.5
Russell Westbrook,Okc,PG,1,FrontCourt,29,20,35.3,73.6,32.7,0.175,136,0.721,270,0.43,112,0.348,0.506,22.4,9.2,14.6,9.5,47.4,2.2,0.1,4.7,14.2,103.7,95.1
Ryan Anderson,Hou,PF,4,BackCourt,29,20,30,62.6,15.6,0.079,27,0.815,41,0.634,146,0.411,0.639,12.7,5.8,10.7,0.7,3.5,0.3,0.45,0.85,5,123.7,101.7
Ryan Arcidiacono,Chi,PG,1,FrontCourt,23,1,5.3,11,16.6,0,0,0,0,0,2,0,0,0,0,0,1,25.3,0,0,0,0,28.7,98.1
Salah Mejri,Dal,C,5,BackCourt,31,18,12.2,25.5,10.6,0.173,23,0.522,31,0.742,2,0,0.673,3.2,4.6,20.6,0.5,6.3,0.39,1.44,0.5,6.4,131.6,90.1
Sam Dekker,Lac,SF,3,BackCourt,23,17,10.1,21.1,17.1,0.118,8,0.625,29,0.655,27,0.148,0.462,3.2,2,11,0.4,6.2,0.47,0.18,0.47,5.4,95.6,103.3
Sean Kilpatrick,Bro,SG,2,FrontCourt,28,14,11.7,24.3,25.5,0.149,15,0.933,42,0.31,37,0.243,0.391,4.8,2.3,10.2,1.1,13.4,0.14,0,1.07,7.9,76.8,108.4
Semi Ojeleye,Bos,PF,4,BackCourt,23,22,13.8,28.7,10.2,0.1,16,0.625,12,0.417,44,0.295,0.468,2.7,2,7.9,0.2,1.9,0.36,0,0.32,3,96.7,96.3
Serge Ibaka,Tor,PF,4,BackCourt,28,18,27,56.1,19,0.101,28,0.643,98,0.602,77,0.325,0.563,11.7,5.6,12,0.6,3,0.33,1.28,1.17,5,105.5,98.2
Shabazz Muhammad,Min,SF,3,BackCourt,25,21,11.8,24.5,17.8,0.03,18,0.722,71,0.437,19,0.211,0.444,4.1,1.8,8.8,0.3,4.1,0.24,0.1,0.14,4.4,100.8,105.8
Shabazz Napier,Por,PG,1,FrontCourt,26,18,16.3,33.9,17.5,0.102,29,0.828,63,0.46,30,0.5,0.6,7.1,1.7,5.6,1.5,14.8,1,0.11,0.67,6.4,120.1,97.6
Shane Larkin,Bos,PG,1,FrontCourt,25,17,9.6,20,16.6,0.065,12,0.917,32,0.25,20,0.25,0.367,2.5,0.8,4.4,1.2,17.7,0.29,0,0.24,5.6,89.6,93.9
Shaun Livingston,Gol,PG,1,FrontCourt,32,20,15.6,32.5,15.5,0.143,14,0.786,89,0.517,1,0,0.536,5.2,2,6.9,2.1,17.7,0.4,0.3,0.8,7.2,111.5,101.8
Shelvin Mack,Orl,PG,1,FrontCourt,27,17,18.8,39.2,13.8,0.168,17,0.706,54,0.426,23,0.304,0.468,4.6,2.1,5.9,4.8,34.1,0.65,0.12,1,7.6,110.3,109.8
Sindarius Thornwell,Lac,SG,2,FrontCourt,23,20,16.2,33.7,12.9,0.166,21,0.667,49,0.449,22,0.455,0.548,4.4,1,3.4,0.7,5.8,0.6,0.35,0.8,3.6,101.5,100.9
Skal Labissiere,Sac,PF,4,BackCourt,21,21,17.8,37.1,22.7,0.116,40,0.8,141,0.44,9,0.444,0.501,8,4.2,13.4,0.6,5.9,0.43,0.71,1.05,6.1,99.1,101
Spencer Dinwiddie,Bro,PG,1,FrontCourt,24,20,25.9,54,20.4,0.086,63,0.762,108,0.398,98,0.388,0.531,12.4,3,5.9,6.1,35.2,0.8,0.35,1.1,9.4,119.2,103.5
Stanley Johnson,Det,SF,3,BackCourt,21,17,29.6,61.6,13.4,0.11,18,0.667,64,0.469,65,0.308,0.482,7.8,3.2,6.1,1.3,5.9,1.29,0.29,1,4.3,95.8,101.4
Stephen Curry,Gol,PG,1,FrontCourt,29,20,32.6,67.9,31.1,0.13,134,0.94,161,0.578,190,0.368,0.637,26.1,5.2,8.8,6.4,29.7,1.7,0.2,3.05,11.7,121.8,101.5
Sterling Brown,Mil,SG,2,FrontCourt,22,5,5.8,12,20.7,0.077,0,0,8,0.375,4,0.25,0.375,1.8,1,10.2,0.4,10.3,0.4,0,0.2,6.2,85.9,95.7
Steven Adams,Okc,C,5,BackCourt,24,17,31,64.7,15.7,0.157,44,0.682,142,0.613,0,0,0.632,12,8.1,14.7,0.8,4.3,1.35,1.18,1.76,5.5,120.9,98.1
T.J. McConnell,Phi,PG,1,FrontCourt,25,20,24.4,50.7,13.6,0.243,12,0.833,100,0.52,16,0.563,0.581,7.1,3.6,7.5,5.4,30.7,1.2,0.2,1.95,8.5,112,100.5
Taj Gibson,Min,PF,4,BackCourt,32,22,32.5,67.6,13.9,0.127,46,0.804,164,0.573,15,0.267,0.595,10.8,8.3,14.7,1.5,6.9,0.95,0.55,1.32,6.3,119.9,103.1
Tarik Black,Hou,C,5,BackCourt,26,16,9.2,19.3,16.7,0.175,16,0.688,34,0.647,6,0,0.585,3.4,3.1,19,0.4,6.1,0.38,0.56,0.63,7,113.8,80.8
Taurean Prince,Atl,SF,3,BackCourt,23,21,30.8,64.2,20.6,0.165,31,0.71,155,0.432,84,0.429,0.522,12.6,5,9.2,2.4,12.2,1.29,0.52,2.38,6.9,95.5,106.9
Terrance Ferguson,Okc,SG,2,FrontCourt,19,13,6.6,13.8,9.9,0.101,2,0.5,8,0.625,9,0.111,0.391,1.1,0.4,3.3,0.1,1.6,0.15,0.08,0.15,2.1,81.8,94.8
Terrence Ross,Orl,SF,3,BackCourt,26,22,26.2,54.6,16.4,0.115,35,0.743,92,0.478,85,0.329,0.515,9,3.2,6.6,1.6,8.5,1.23,0.45,1.14,5.5,99.2,106.6
Terry Rozier,Bos,PG,1,FrontCourt,23,23,23.3,48.5,19,0.07,33,0.818,96,0.385,103,0.369,0.503,9.3,4.4,10.3,2,13.9,1.04,0.04,0.7,7.5,107.4,95.6
Thabo Sefolosha,Uta,SF,3,BackCourt,33,21,20.7,43.2,15.6,0.113,29,0.862,78,0.551,43,0.395,0.606,7.7,4.3,11.9,0.9,6.5,1.43,0.14,0.81,6,114.6,97.7
Thaddeus Young,Ind,PF,4,BackCourt,29,22,33.2,69.1,18.1,0.1,17,0.588,194,0.536,70,0.343,0.534,13.2,5.9,10,2,8.8,1.77,0.36,1.36,6.5,106.9,104.6
Thon Maker,Mil,PF,4,BackCourt,20,20,18.9,39.4,13.6,0.125,23,0.652,53,0.472,35,0.286,0.484,4.8,3.5,10.9,0.7,4.8,0.75,0.7,0.7,4.8,98.8,97
Tim Frazier,Was,PG,1,FrontCourt,27,21,17.2,35.9,13.4,0.297,14,0.857,46,0.457,26,0.269,0.48,3.6,2.3,7.4,3.8,30.1,0.86,0.14,1.57,7.3,97.2,97.2
Tim Hardaway Jr.,Nyk,SG,2,FrontCourt,25,21,34.1,71,23.5,0.093,75,0.8,165,0.515,152,0.316,0.534,17.8,4.2,6.9,3.3,15.1,1.14,0.24,1.71,7.4,109.8,105.4
Timofey Mozgov,Bro,C,5,BackCourt,31,16,15.1,31.5,14.8,0.242,15,0.667,44,0.705,15,0.2,0.617,5.1,4.4,15.3,0.2,1.8,0.19,0.5,1.31,4.4,102.3,103
Timothe Luwawu-Cabarrot,Phi,SF,3,BackCourt,22,20,16.4,34.1,19.2,0.119,33,0.758,49,0.51,70,0.343,0.55,7.4,1.7,5.4,0.9,7.5,0.35,0.05,0.9,5.5,105,99.7
