Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Eric Gordon,Hou,SG,2,FrontCourt,29,19,31.6,65.8,27.2,0.127,92,0.837,99,0.545,190,0.316,0.554,19.2,2.1,3.7,2.7,14,0.68,0.32,2.53,6,105.1,103.3
Eric Moreland,Det,PF,4,BackCourt,26,17,10.6,22.1,7,0.313,4,0.5,18,0.5,0,0,0.506,1.2,3.2,17.3,0.9,10.5,0.24,0.76,0.53,5.7,112,87.3
Ersan Ilyasova,Atl,PF,4,BackCourt,30,10,20.5,42.7,15.1,0.043,8,0.875,32,0.438,32,0.281,0.459,6.2,4.5,12.5,0.7,4.9,1.2,0.2,0.3,5.3,100.4,99.3
E'Twaun Moore,Nor,SG,2,FrontCourt,28,21,30.3,63.2,15.4,0.093,13,0.615,125,0.576,75,0.373,0.574,11.2,2.5,4.5,2,9.6,1.05,0.14,1,5.1,110.9,106.1
Evan Fournier,Orl,SG,2,FrontCourt,25,22,32,66.7,23.1,0.115,64,0.891,182,0.511,121,0.405,0.589,17.7,3.3,5.6,3,14.9,1.05,0.27,1.95,7,110.7,108.6
Evan Turner,Por,SG,2,FrontCourt,29,22,26.4,55,17.1,0.162,38,0.868,135,0.444,39,0.205,0.464,8,4,8.3,2.3,13.4,0.73,0.45,1.68,6.3,92.2,96.2
Frank Kaminsky,Cha,C,5,BackCourt,24,19,24.6,51.2,20.2,0.083,41,0.805,113,0.478,68,0.338,0.528,11.1,4,8.6,1.6,10.4,0.32,0.21,0.95,6.7,106.4,104.8
Frank Mason,Sac,PG,1,FrontCourt,23,14,17.2,35.8,23,0.178,26,0.769,72,0.403,18,0.5,0.518,7.5,1.8,5.9,3.2,30.6,0.29,0,1.57,8.2,101.6,112.3
Frank Ntilikina,Nyk,PG,1,FrontCourt,19,18,19,39.6,18,0.255,14,0.643,67,0.388,32,0.25,0.404,4.7,1.8,5.3,3.3,24,1.39,0.17,2,6.4,82.3,95.2
Fred VanVleet,Tor,PG,1,FrontCourt,23,20,15.8,33,18.8,0.127,19,0.842,63,0.413,46,0.348,0.494,5.8,1.6,5.7,2.8,24.5,0.8,0.2,0.85,7.5,107,101.4
Furkan Korkmaz,Phi,SG,2,FrontCourt,20,5,2.4,5.1,23.4,0,2,1,2,0.5,4,0,0.291,0.8,0.6,12.7,0.2,10.8,0.2,0,0,7.6,,
Garrett Temple,Sac,SG,2,FrontCourt,31,20,25.2,52.6,16.2,0.137,27,0.778,71,0.366,74,0.405,0.52,8.2,2.3,5.1,1.6,9.3,1.05,0.5,1.25,4.9,97.3,107
Gary Harris,Den,SG,2,FrontCourt,23,19,32.8,68.3,17.9,0.127,25,0.76,108,0.546,108,0.435,0.612,14.6,2.7,4.6,2.5,11.8,1.84,0.47,1.74,5.6,115.4,105.4
Gary Payton II,Mil,PG,1,FrontCourt,25,7,6.4,13.3,17.5,0.118,0,0,9,0.556,6,0.167,0.433,1.9,0.9,7.9,0.6,13.2,0.14,0,0.29,6.3,88.9,91.1
George Hill,Sac,PG,1,FrontCourt,31,19,26,54.1,16.5,0.133,32,0.75,96,0.427,47,0.468,0.547,9.1,3,6.6,2.4,14.2,0.79,0.21,1.26,6.2,105.6,108.9
Georgios Papagiannis,Sac,C,5,BackCourt,20,4,6.3,13.2,14.2,0.125,0,0,7,0.714,0,0,0.714,2.5,1.3,11.3,0.3,6.9,0.25,0.25,0.25,6.3,125.5,109.9
Gian Clavell,Dal,SG,2,FrontCourt,24,7,9.1,18.9,14.7,0.096,2,1,3,0,15,0.4,0.53,2.9,1,6,0.4,7.1,0.29,0,0.29,4.6,102.5,98.5
Giannis Antetokounmpo,Mil,PF,4,BackCourt,23,19,37.2,77.5,33.1,0.104,165,0.758,351,0.573,33,0.273,0.607,29.2,10.1,16,4.5,23.3,1.74,1.79,2.79,11.8,117.8,98.3
Goran Dragic,Mia,PG,1,FrontCourt,31,21,32.7,68.2,25,0.125,81,0.802,203,0.488,96,0.396,0.563,18,4,6.7,4.5,24.3,0.86,0.1,2.29,8.4,109.9,104.4
Gordon Hayward,Bos,SF,3,BackCourt,27,1,5.3,11,16.7,0,0,0,1,1,1,0,0.5,2,1,10.3,0,0,0,0,0,0,99.3,83.9
Gorgui Dieng,Min,PF,4,BackCourt,28,19,16.4,34.1,18,0.133,39,0.744,74,0.541,20,0.25,0.558,6.5,4.6,16.1,1.2,10.4,0.58,0.11,0.89,8,115.2,98
Greg Monroe,Mil,C,5,BackCourt,27,5,15.9,33.1,23.6,0.147,4,0.5,33,0.485,0,0,0.489,6.8,5,18.6,1,10.3,0,0,1.2,8.1,93.9,101.8
Greg Monroe,Pho,C,5,BackCourt,27,7,21.4,44.6,21.2,0.181,8,0.75,60,0.617,0,0,0.63,11.4,7,16.8,2.1,17.5,0.71,0.43,2,10.3,114.7,103.8
Guerschon Yabusele,Bos,PF,4,BackCourt,22,7,4.6,9.5,22.1,0.189,2,1,5,0.6,7,0.286,0.543,2,1.6,18.9,0.1,5.1,0,0.14,0.43,5.9,,
Harrison Barnes,Dal,SF,3,BackCourt,25,22,35.4,73.8,24.6,0.103,111,0.829,251,0.478,84,0.321,0.538,18.8,7.4,11.4,2,9.7,0.73,0.14,2,7.4,103.8,106.3
Hassan Whiteside,Mia,C,5,BackCourt,28,15,26.8,55.9,22.9,0.112,52,0.692,158,0.576,2,1,0.612,14.9,12.7,26.2,0.4,2.8,1,1.6,1.53,6.3,115.9,94.4
Henry Ellenson,Det,PF,4,BackCourt,21,7,11.5,23.9,24.2,0.135,1,1,19,0.421,19,0.368,0.494,5.4,3,14.8,0.7,9.5,0.43,0,0.86,7.8,91.9,98
Ian Clark,Nor,SG,2,FrontCourt,26,18,15.7,32.7,17,0.127,12,0.667,43,0.419,48,0.313,0.462,4.9,1.5,5.3,1.6,13.7,0.39,0,0.78,5.8,92.4,105
Ian Mahinmi,Was,C,5,BackCourt,31,21,14.3,29.8,13,0.28,28,0.714,52,0.442,0,0,0.513,3.1,3.7,14.3,0.6,5.4,0.38,0.43,1.19,5.3,98.4,86.5
Ike Anigbogu,Ind,C,5,BackCourt,19,6,2.9,6,20.1,0.254,2,1,5,0.2,0,0,0.34,0.7,0.7,13,0,0,0.17,0.17,0.33,0,,
Iman Shumpert,Cle,SG,2,FrontCourt,27,13,20.8,43.4,13.1,0.211,15,0.733,32,0.469,25,0.28,0.487,4.8,3.1,8.3,1.3,8.4,0.69,0.31,1.31,5.2,91,105.5
Isaiah Canaan,Hou,SG,2,FrontCourt,26,1,4,8.3,10.8,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,0,,
Isaiah Taylor,Atl,PG,1,FrontCourt,23,14,16,33.4,17.8,0.177,24,0.667,48,0.479,16,0.375,0.536,5.7,1.1,4.1,2.2,20.4,0.5,0.29,1.14,6,102,109.7
Isaiah Whitehead,Bro,PG,1,FrontCourt,22,7,12.7,26.4,29.6,0.252,10,0.6,35,0.514,8,0.25,0.506,6.9,1.6,6.5,1.9,24.5,0.71,0.29,2.29,8.7,83.4,97.2
Ish Smith,Det,PG,1,FrontCourt,29,20,19.7,41.1,22.7,0.117,22,0.727,154,0.539,17,0.235,0.537,9.7,2.3,6.5,4.1,33.5,0.35,0.25,1.2,9.1,113.1,101.6
Ivan Rabb,Mem,PF,4,BackCourt,20,1,1.2,2.5,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,
Ivica Zubac,Lal,C,5,BackCourt,20,5,2.3,4.8,25.2,0.286,0,0,5,0.4,0,0,0.4,0.8,0.8,18.1,0,0,0,0,0.4,0,,
J.J. Barea,Dal,PG,1,FrontCourt,33,22,22.2,46.2,26.7,0.155,39,0.769,117,0.462,111,0.378,0.538,12,3,7.3,5,40.2,0.5,0.05,2.05,10.2,105.3,105
Jabari Bird,Bos,SG,2,FrontCourt,23,2,8.2,17,8.7,0,5,0.6,0,0,1,0,0.469,1.5,0.5,3.4,0,0,0,0,0,0,105.8,100.8
Jack Cooley,Sac,F,5,BackCourt,26,1,1.6,3.3,52.7,0,2,1,1,0,0,0,0.532,2,1,35.7,1,81.2,0,0,0,31.5,,
Jacob Pullen,Phi,PG,1,FrontCourt,28,2,1.2,2.5,17.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Jacob Wiley,Bro,SF,3,BackCourt,23,4,8.1,16.8,6.2,0,2,0.5,2,0,2,0.5,0.41,1,2.8,17.7,0.5,7.8,0.25,0,0,5.5,119.7,97
Jae Crowder,Cle,SF,3,BackCourt,27,22,26,54.1,15.6,0.114,49,0.878,79,0.456,79,0.329,0.537,8.8,3.3,7.2,1,5.6,0.64,0.05,1.05,4.7,106.3,105.3
Jahlil Okafor,Phi,C,5,BackCourt,22,2,12.7,26.4,22.5,0.218,4,0.5,9,0.444,0,0,0.465,5,4.5,18.4,0.5,5.8,0,1,1.5,7.1,88.6,81.1
JaKarr Sampson,Sac,SF,3,BackCourt,24,2,6.4,13.2,17.2,0,2,1,3,0.667,1,0,0.615,3,2.5,22.5,0.5,12.9,0,0,0,9.7,146.7,77.6
Jake Layman,Por,SF,3,BackCourt,23,10,4.8,9.9,14.6,0,0,0,10,0.4,6,0.333,0.438,1.4,0.5,5.7,0.2,6.5,0.3,0.2,0,4.3,,
Jakob Poeltl,Tor,C,5,BackCourt,22,20,14.9,31,17.1,0.157,25,0.44,86,0.674,0,0,0.655,6.4,4.3,16.6,0.4,4.1,0.4,0.95,0.9,6,122.8,94.4
Jalen Jones,Nor,SF,3,BackCourt,24,3,3.4,7.1,16.5,0,2,1,2,0,1,1,0.644,1.7,0.7,10.8,0,0,0,0,0,0,,
Jamal Crawford,Min,SG,2,FrontCourt,37,22,17.4,36.2,24.6,0.139,42,0.929,97,0.454,70,0.357,0.545,9.2,1.1,3.6,2,17.8,0.64,0.05,1.36,6.3,105.5,108.3
Jamal Murray,Den,SG,2,FrontCourt,20,21,27,56.2,23.9,0.142,50,0.92,155,0.529,95,0.253,0.518,13.4,3,6.1,2.3,13.6,0.71,0.19,2.14,6.7,102.3,105.5
Jameer Nelson,Nor,PG,1,FrontCourt,35,19,25.6,53.4,12.4,0.229,15,0.8,50,0.5,51,0.392,0.567,6.4,2.5,5.3,4.6,23.8,0.95,0.11,1.68,6.5,108.7,106.5
James Ennis III,Mem,SF,3,BackCourt,27,19,25.9,53.9,11.6,0.121,31,0.903,59,0.627,36,0.306,0.621,7.1,3.9,8.7,1.3,7.5,0.63,0.21,0.79,5.1,122.6,103.8
James Harden,Hou,PG,1,FrontCourt,28,21,35.9,74.9,35.9,0.155,194,0.866,210,0.505,233,0.403,0.626,31.5,5.2,8.1,9.8,49.9,1.67,0.48,4.62,13,122.6,98.9
James Johnson,Mia,PF,4,BackCourt,30,20,27.5,57.3,20.1,0.207,56,0.679,116,0.56,55,0.382,0.59,11.6,5.2,10.3,4.3,25.5,1.05,0.7,2.55,9.3,108,97.7
James Michael McAdoo,Phi,PF,4,BackCourt,25,1,6.9,14.4,35.3,0.17,2,1,0,0,4,0.25,0.512,5,0,0,0,0,0,0,1,0,90.7,116.4
Jamil Wilson,Lac,SF,3,BackCourt,27,2,3.3,6.8,26.8,0.25,0,0,0,0,3,0.667,1,3,1,17.1,0,0,0,0,0.5,0,,
JaMychal Green,Mem,PF,4,BackCourt,27,8,24.9,51.8,15.8,0.088,10,0.8,43,0.651,15,0.467,0.681,10.6,5.3,12.1,1.1,7.9,0.5,0,0.75,6.4,130.6,99.6
Jared Dudley,Pho,PF,4,BackCourt,32,8,14.6,30.5,10.1,0.175,6,0.667,8,0.375,13,0.538,0.656,3.9,2.4,8.4,2,18.6,0.75,0.25,0.63,7.3,127.8,101.3
Jarell Martin,Mem,PF,4,BackCourt,23,19,18,37.6,15.2,0.151,18,0.778,61,0.426,27,0.222,0.438,4.4,3.5,11.1,0.5,4,0.63,0.84,0.89,4.4,88.6,93.7
Jarrett Allen,Bro,C,5,BackCourt,19,13,15.4,32.1,12.2,0.102,16,0.688,45,0.489,1,0,0.518,4.2,3.8,12.7,0.5,4.2,0.69,0.69,0.46,5.2,111.2,100.9
Jarrett Jack,Nyk,PG,1,FrontCourt,34,19,26.4,54.9,13,0.214,6,0.833,91,0.451,24,0.292,0.459,5.7,3.2,6.9,5.9,30.6,0.53,0.05,1.68,7.2,102.9,107.1
Jason Smith,Was,C,5,BackCourt,31,8,9.5,19.7,18,0.097,7,1,12,0.5,13,0.077,0.392,2.8,1.5,8.8,0.1,1.8,0,0.63,0.38,3.2,88.4,93.2
Jason Terry,Mil,SG,2,FrontCourt,40,8,9.6,20.1,11.3,0.159,2,1,5,0.6,10,0.1,0.346,1.4,0.9,5.4,0.8,10.2,0.5,0.13,0.38,4.2,74.5,108.8
JaVale McGee,Gol,C,5,BackCourt,30,19,8.1,16.8,18.8,0.119,16,0.75,50,0.56,2,0,0.576,3.6,2.1,14,0.6,10.8,0.42,0.68,0.42,8.2,116.7,93
Jawun Evans,Lac,PG,1,FrontCourt,21,13,12.2,25.4,20.1,0.136,19,0.789,43,0.419,12,0.167,0.45,4.4,1.1,4.9,1.2,15.1,0.62,0.08,0.77,5.9,92.8,97.8
Jaylen Brown,Bos,SF,3,BackCourt,21,22,31.8,66.2,21.2,0.105,83,0.59,163,0.491,100,0.4,0.549,15,6.1,10.6,1.2,6.2,1.14,0.27,1.59,6,104,92.9
Jayson Tatum,Bos,SF,3,BackCourt,19,23,30.5,63.5,17.9,0.113,87,0.828,143,0.497,70,0.486,0.629,13.7,5.3,9.4,1.5,7.8,0.96,0.83,1.39,6.3,118.7,94.7
Jeff Green,Cle,SF,3,BackCourt,31,22,20.8,43.3,20.7,0.112,61,0.82,123,0.553,41,0.293,0.582,10.1,3.2,8.6,1.6,11.7,0.68,0.27,1.09,7.2,115,103
Jeff Teague,Min,PG,1,FrontCourt,29,18,33.9,70.6,21.1,0.203,63,0.81,141,0.426,67,0.403,0.535,14,3.1,5.3,7.5,32.3,1.78,0.5,3.33,8.1,104.8,104.4
Jeff Withey,Dal,C,5,BackCourt,27,7,4.2,8.8,21,0.072,2,0.5,4,0.5,8,0.25,0.427,1.6,1,12.9,0,0,0,0.29,0.14,0,,
Jerami Grant,Okc,SF,3,BackCourt,23,20,22.4,46.7,16.3,0.124,57,0.737,89,0.607,34,0.235,0.588,8.7,3.9,9.8,1,6.9,0.75,0.9,1.05,5.8,114.9,97.1
Jeremy Lamb,Cha,SG,2,FrontCourt,25,20,28.9,60.2,23.9,0.113,74,0.851,171,0.491,79,0.38,0.568,16.1,5.2,9.5,3.4,20.1,0.9,0.5,1.8,9.1,111.3,100.5
Jeremy Lin,Bro,PG,1,FrontCourt,29,1,25.2,52.5,29.7,0.166,7,1,10,0.4,2,0.5,0.597,18,0,0,4,25.4,0,0,3,0,111.2,106.2
Jerian Grant,Chi,PG,1,FrontCourt,25,20,25.8,53.7,17.4,0.142,55,0.782,103,0.456,48,0.313,0.519,9.1,3.1,6.4,5.1,31.3,0.85,0.1,1.45,8.1,110.1,106.5
Jerryd Bayless,Phi,PG,1,FrontCourt,29,15,28,58.4,14.5,0.15,27,0.778,53,0.528,60,0.383,0.585,9.7,2.3,4.3,2,9.9,0.67,0.2,1.47,5.1,108,103.4
Jimmy Butler,Min,SF,3,BackCourt,28,20,36.1,75.3,22.1,0.112,95,0.821,226,0.456,58,0.379,0.537,17.5,5.5,8.7,4.5,19.1,1.8,0.2,2.05,8.4,111.2,107.7
JJ Redick,Phi,SG,2,FrontCourt,33,19,33.1,69,19.1,0.086,38,0.921,129,0.442,119,0.403,0.553,15.4,2.9,4.6,3.6,16,0.63,0.11,1.32,6.6,113.3,105.7
Joakim Noah,Nyk,C,5,BackCourt,32,1,2.9,6,15,0,0,0,1,1,0,0,1,2,1,19.5,0,0,0,1,0,0,,
Jodie Meeks,Was,SG,2,FrontCourt,30,21,17.2,35.9,19.8,0.061,51,0.882,60,0.467,71,0.324,0.554,8.1,1.1,3.7,0.5,4.1,0.62,0,0.48,3.8,111.3,105.4
Joe Harris,Bro,SG,2,FrontCourt,26,20,23.1,48.2,16.3,0.071,20,0.7,51,0.627,110,0.382,0.601,10.2,2.7,6,1.4,8.8,0.65,0.3,0.65,5.8,117.2,106.1
Joe Ingles,Uta,SF,3,BackCourt,30,22,29.3,61.1,15.4,0.168,10,0.9,59,0.407,120,0.467,0.613,10.2,4,7.8,4,20.7,1.18,0.18,1.68,7.5,113.3,100.5
Joe Johnson,Uta,SF,3,BackCourt,36,7,19.2,40,20,0.168,8,0.875,29,0.552,17,0.118,0.454,6.4,2.7,8.1,1.6,12.7,0.57,0.29,1.43,6.3,87.9,104
Joe Young,Ind,PG,1,FrontCourt,25,12,5.6,11.7,26.4,0.099,8,0.625,22,0.591,11,0.091,0.465,2.8,0.8,7.5,0.6,15.9,0.08,0,0.33,7.9,95.2,104.8
Joel Bolomboy,Mil,PF,4,BackCourt,24,5,6.1,12.7,13,0.231,6,0.5,3,0.333,1,0,0.377,1,1.6,15.5,0,0,0.4,0,0.4,0,93,104.6
Joel Embiid,Phi,C,5,BackCourt,23,18,29.6,61.6,33.7,0.168,137,0.759,249,0.542,51,0.255,0.573,22.9,11.3,19.8,3.3,19.7,0.72,1.78,4.06,12.8,105.6,93.5
Joffrey Lauvergne,San,C,5,BackCourt,26,10,10.3,21.4,18.7,0.139,7,0.571,31,0.419,3,0,0.405,3,3.4,18.4,0.8,11.5,0.2,0,0.6,7.8,93.9,93.6
John Collins,Atl,PF,4,BackCourt,20,21,23.1,48,20.5,0.137,47,0.766,173,0.595,1,0,0.622,11.5,7.1,17.5,0.8,5.9,0.67,0.86,1.48,7,119.1,96.5
John Henson,Mil,C,5,BackCourt,27,19,23.1,48.2,15.3,0.171,40,0.45,102,0.598,2,0,0.576,7.4,6.8,17.3,1.5,9.5,0.37,1.58,1.32,7.3,110.8,96.9
John Holland,Cle,SG,2,FrontCourt,29,4,4.3,8.9,12.9,0.2,0,0,2,0,2,0.5,0.375,0.8,0.5,6.6,0,0,0,0,0.25,0,,
John Wall,Was,PG,1,FrontCourt,27,16,34.4,71.7,28.1,0.136,112,0.75,196,0.469,60,0.317,0.532,20.3,3.4,5.5,9.2,43.8,1.06,1.13,3,10,111.1,104.6
Johnny O'Bryant III,Cha,PF,4,BackCourt,24,8,9.4,19.5,23.5,0.074,8,1,27,0.519,7,0.286,0.56,5.3,2.1,12,0.4,7.1,0.25,0.25,0.38,7,114.8,100.6
Jon Leuer,Det,PF,4,BackCourt,28,8,17.1,35.5,16.2,0.158,15,0.867,33,0.455,3,0,0.505,5.4,4,13.3,0.6,5,0.13,0.38,1,5.5,99.2,96.9
Jonas Jerebko,Uta,PF,4,BackCourt,30,17,15.9,33.1,14.6,0.069,10,0.8,37,0.541,40,0.5,0.663,6.4,3.6,13,0.8,8.2,0.29,0.12,0.35,6.6,132.8,95.2
Jonas Valanciunas,Tor,C,5,BackCourt,25,16,20.3,42.2,21.8,0.163,37,0.865,112,0.58,5,0.2,0.619,10.3,7,20.1,0.8,5.7,0.25,0.56,1.63,7.6,115.3,92.3
Jonathan Isaac,Orl,SF,3,BackCourt,20,12,19.9,41.4,14.4,0.152,14,0.857,44,0.523,17,0.294,0.543,6.1,4.4,12,0.8,5.8,0.67,1.25,1,5.6,102.9,102
Jonathon Simmons,Orl,SG,2,FrontCourt,28,22,25.6,53.2,23.8,0.146,91,0.736,170,0.529,53,0.377,0.584,14,2.8,6,1.9,11.4,0.68,0.05,2.05,6.6,105.8,106
Jordan Bell,Gol,PF,4,BackCourt,23,16,9.5,19.8,13.8,0.225,2,0.5,37,0.73,0,0,0.726,3.4,2.9,16.7,1,14.4,0.56,0.88,0.69,9,127.9,88.7
Jordan Clarkson,Lal,SG,2,FrontCourt,25,21,22.6,47.1,28.3,0.118,57,0.754,192,0.536,67,0.373,0.57,15.4,2.9,6.7,3,23.2,0.71,0,1.81,9.1,109,102.5
Jordan Crawford,Nor,SG,2,FrontCourt,29,2,18.7,38.9,20.9,0.222,0,0,9,0.333,5,0.8,0.643,9,1.5,4.4,4.5,36.9,0,0.5,2,8.4,117.2,99.6
Jordan Mickey,Mia,PF,4,BackCourt,23,4,9.2,19.2,18.7,0.196,3,0.667,10,0.6,1,0,0.568,3.5,4.3,25.5,0,0,0,0.5,0.75,0,100.2,90.9
Jose Calderon,Cle,PG,1,FrontCourt,36,13,13.4,27.9,9.3,0.273,6,0.833,11,0.455,13,0.462,0.619,2.5,1.1,4.5,1.5,15,0.46,0,0.77,4.8,109.9,104.4
Josh Hart,Lal,SG,2,FrontCourt,22,16,13.8,28.8,10.6,0.124,12,0.75,27,0.519,17,0.235,0.497,3.1,2.2,8.3,0.4,3.6,0.63,0.19,0.44,4.1,97.5,100.1
Josh Huestis,Okc,SF,3,BackCourt,26,16,11.3,23.6,12.1,0.177,4,0.5,9,0.222,31,0.29,0.395,2.1,1.6,8.1,0.4,4.6,0.38,0.56,0.56,3.9,78.2,92.4
Josh Jackson,Pho,SF,3,BackCourt,20,23,21.5,44.8,23.8,0.157,64,0.516,154,0.448,59,0.237,0.442,9.3,3.8,9.1,1.1,7.8,1.3,0.22,1.96,6.3,83,100.1
Josh Magette,Atl,PG,1,FrontCourt,28,8,8,16.7,10.8,0.127,4,1,8,0.375,4,0.25,0.472,1.6,0.8,5.3,2.1,35.6,0.25,0,0.25,7,123.9,106.9
Josh Richardson,Mia,SG,2,FrontCourt,24,21,32.4,67.5,16.2,0.191,21,0.762,86,0.488,104,0.269,0.462,8.8,3,5.1,2,9.3,1.29,0.71,2.24,4.6,84,101.2
Josh Smith,Nor,PF,4,BackCourt,32,3,3.9,8.2,14.7,0,0,0,4,0.25,0,0,0.25,0.7,1.3,18.7,0,0,0,0,0,0,,
JR Smith,Cle,SG,2,FrontCourt,32,22,31,64.5,13.1,0.104,12,0.583,51,0.51,125,0.32,0.494,8.1,2.8,5.1,2,8.8,1,0.05,0.95,4.6,99.7,105.9
Jrue Holiday,Nor,PG,1,FrontCourt,27,21,36.1,75.2,20.7,0.155,48,0.854,190,0.553,95,0.274,0.537,15.7,4.3,6.6,5.7,23.4,1.29,0.29,2.67,8.1,104.9,105.5
Juan Hernangomez,Den,PF,4,BackCourt,22,10,14.8,30.8,12.8,0.068,7,0.714,13,0.462,25,0.32,0.499,4.1,2.7,10.2,0.4,3.7,0.3,0.2,0.3,4.4,110.4,104.7
Julius Randle,Lal,PF,4,BackCourt,23,21,22.2,46.3,23.8,0.18,83,0.675,164,0.591,18,0.222,0.599,12.5,6.6,15.5,1.7,12.4,0.43,0.86,2.29,9.4,105.6,91.1
Julyan Stone,Cha,PG,1,FrontCourt,29,2,9.2,19.1,14.2,0.333,0,0,0,0,4,0.5,0.75,3,2.5,14.5,1,16.3,1,0,1,8.5,102.8,84
Justin Anderson,Phi,SF,3,BackCourt,24,10,12.6,26.3,18.1,0.073,7,0.714,22,0.409,26,0.346,0.489,5,2.7,11.1,0.3,3.4,0.3,0.1,0.4,5.1,103.7,95.1
Justin Holiday,Chi,SG,2,FrontCourt,28,19,34.3,71.5,20.9,0.08,49,0.755,117,0.385,147,0.354,0.496,14.9,4.2,6.4,2.1,10,1.26,0.58,1.32,5.9,98.4,108.2
Justin Jackson,Sac,SF,3,BackCourt,22,17,18.2,38,17.9,0.105,10,0.6,60,0.467,46,0.326,0.485,6.3,1.6,5.2,0.4,3.6,0.18,0.12,0.76,3.5,91.6,113.3
Justise Winslow,Mia,SF,3,BackCourt,21,21,22.8,47.6,15.7,0.137,22,0.682,108,0.444,27,0.333,0.477,6.6,5.6,13.4,1.7,11.5,0.81,0.33,1.1,7,97.2,98.4
Jusuf Nurkic,Por,C,5,BackCourt,23,22,28.2,58.7,29.1,0.169,96,0.646,297,0.468,5,0,0.494,15.5,7.9,15.2,2.1,13.5,0.82,1.23,3.18,9,93.2,91.8
Karl-Anthony Towns,Min,C,5,BackCourt,22,22,34.3,71.5,23.6,0.113,95,0.863,241,0.581,80,0.363,0.619,20.4,11.7,19.5,1.5,7.5,0.5,1.27,2.09,8.3,119.7,99.7
Kay Felder,Chi,PG,1,FrontCourt,22,12,10.5,21.9,28.7,0.182,10,0.9,46,0.326,17,0.235,0.378,4.3,0.9,4.6,1.7,26.6,0.17,0.08,1.25,7.1,75.1,106.8
Kelly Olynyk,Mia,C,5,BackCourt,26,21,19.1,39.8,20.9,0.224,39,0.795,75,0.56,53,0.491,0.665,9.2,5.3,15.3,1.6,13.7,0.57,0.48,2,8.9,109,89.8
Kelly Oubre Jr.,Was,SF,3,BackCourt,22,21,28.1,58.5,18.2,0.094,56,0.804,109,0.459,89,0.393,0.561,11.9,5.5,10.8,1,5.3,0.9,0.48,1.1,5.7,110.2,98.7
Kemba Walker,Cha,PG,1,FrontCourt,27,19,35.2,73.2,26.5,0.103,118,0.856,191,0.492,123,0.366,0.579,22.3,3.8,5.7,6.2,30.8,0.63,0.21,2.21,9.2,118.3,106
Kenneth Faried,Den,PF,4,BackCourt,28,18,13.2,27.4,18.2,0.119,33,0.758,74,0.554,0,0,0.604,5.9,4.1,17.4,0.3,3.9,0.33,0.22,0.67,5.9,120.9,101.8
Kent Bazemore,Atl,SF,3,BackCourt,28,21,28.4,59.2,22.6,0.167,75,0.787,142,0.415,80,0.35,0.512,12.4,4.4,8.8,3.6,19,1.81,0.48,2.43,8.2,97.8,105.1
Kentavious Caldwell-Pope,Lal,SG,2,FrontCourt,24,19,34.9,72.8,17.8,0.124,52,0.75,112,0.491,113,0.354,0.543,14.2,5.3,7.9,2.5,10.1,1.68,0.37,1.84,6.6,103.9,101.5
Kevin Durant,Gol,SF,3,BackCourt,29,17,34.6,72.1,28.7,0.153,80,0.85,195,0.574,102,0.431,0.638,24.9,6.8,10.8,4.7,21.2,0.76,2,3.53,10.7,113.5,102.8
Kevin Love,Cle,PF,4,BackCourt,29,22,29.6,61.6,26.3,0.121,129,0.891,175,0.52,110,0.364,0.61,19,10.3,19.5,1.9,10.3,0.73,0.45,2.14,9.7,120.2,101
Kevon Looney,Gol,PF,4,BackCourt,21,15,11.7,24.3,13.7,0.161,18,0.444,39,0.538,0,0,0.533,3.3,3,14.1,0.5,5.8,0.47,1,0.6,5.8,107.5,89.6
Khem Birch,Orl,C,5,BackCourt,25,2,3.1,6.5,21,0,0,0,3,0.333,0,0,0.333,1,1,17.5,0.5,23.8,0,0,0,10.2,,
Khris Middleton,Mil,PF,4,BackCourt,26,20,36.7,76.5,25.2,0.124,71,0.859,217,0.507,104,0.337,0.548,19.3,5.6,9,4.4,19.5,1.35,0.05,2.5,8.5,105.3,101.3
Klay Thompson,Gol,SG,2,FrontCourt,27,22,33,68.7,23.7,0.088,22,0.909,189,0.513,166,0.464,0.61,20.2,4.3,7.2,2.4,11,0.68,0.82,1.59,7.2,113,105.6
Kosta Koufos,Sac,C,5,BackCourt,28,21,19.1,39.9,12,0.121,33,0.455,80,0.55,0,0,0.545,4.9,5.9,17.6,1.1,9,0.57,0.67,0.62,6.6,115.1,101.6
Kris Dunn,Chi,PG,1,FrontCourt,23,16,26.8,55.8,25.3,0.21,19,0.632,150,0.44,37,0.432,0.491,12,4.7,9.3,4.2,28.1,2,0.25,3.25,9.2,88.5,96.7
Kristaps Porzingis,Nyk,PF,4,BackCourt,22,19,31.5,65.6,34.2,0.096,132,0.841,274,0.489,92,0.402,0.578,25.8,6.8,12.2,1.1,6.4,0.47,2.11,2.37,7.3,111.4,101
